,ID,Lat,Lng,Bump,Distance(mi),Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Stop,Amenity,Side,Severity,timestamp,Full Date With H,Full Date Without H,Year,Day,Month,Hour,Weather_Condition,Wind_Chill(F),Precipitation(in),Temperature(F),Humidity(%),Wind_Speed(mph),Visibility(mi),Selected,Full Date,Is Holiday
0,1,37.719157,-122.448254,False,0.0,False,False,False,False,False,False,False,False,R,2,2020-05-05 19:23:00,1588698000.0,1588629600.0,2020,5,5,19,Mostly Cloudy,59.0,0.0,59.0,78.0,20.0,10.0,No,2020-5-5 19:0:0,False
1,2,37.808498,-122.366852,False,0.0,False,False,False,False,False,False,True,False,R,3,2016-09-16 19:57:16,1474045200.0,1473976800.0,2016,16,9,19,Clear,,,62.1,80.0,9.2,10.0,No,2016-9-16 19:0:0,False
2,3,37.78593,-122.39108,False,0.009,False,False,True,False,False,False,False,False,R,1,2020-03-29 19:48:43,1585501200.0,1585432800.0,2020,29,3,19,Fair,58.0,0.0,58.0,70.0,10.0,10.0,No,2020-3-29 19:0:0,True
3,4,37.719141,-122.448457,False,0.0,False,False,False,False,False,False,False,False,R,2,2019-10-09 08:47:00,1570600800.0,1570572000.0,2019,9,10,8,Fair,58.0,0.0,58.0,65.0,3.0,10.0,No,2019-10-9 8:0:0,False
4,5,37.769611,-122.416878,False,0.0,False,False,False,False,False,False,False,False,R,2,2019-09-22 08:45:38,1569132000.0,1569103200.0,2019,22,9,8,Fair,61.0,0.0,61.0,81.0,13.0,10.0,No,2019-9-22 8:0:0,True
5,6,37.727318,-122.402756,False,0.0,False,False,False,False,False,False,False,False,R,2,2019-10-23 07:11:42,1571806800.0,1571781600.0,2019,23,10,7,Fair,61.0,0.0,61.0,60.0,0.0,10.0,No,2019-10-23 7:0:0,False
6,7,37.731277,-122.435219,False,0.01,False,False,False,False,False,False,False,False,R,3,2016-03-25 13:36:15,1458903600.0,1458856800.0,2016,25,3,13,Scattered Clouds,,,64.9,58.0,13.8,10.0,No,2016-3-25 13:0:0,False
7,8,37.787867,-122.396836,False,0.0,True,False,False,False,False,False,False,True,L,2,2020-02-23 18:38:00,1582473600.0,1582408800.0,2020,23,2,18,Fair,58.0,0.0,58.0,72.0,5.0,10.0,No,2020-2-23 18:0:0,True
8,9,37.756806,-122.403612,False,0.0,False,False,False,False,False,False,False,False,R,2,2019-09-25 18:07:00,1569427200.0,1569362400.0,2019,25,9,18,Fair,86.0,0.0,86.0,30.0,16.0,10.0,No,2019-9-25 18:0:0,False
9,10,37.768959,-122.406616,False,0.579999983311,False,False,True,False,False,False,False,False,R,3,2020-02-28 19:41:14,1582909200.0,1582840800.0,2020,28,2,19,Cloudy,52.0,0.0,52.0,83.0,12.0,10.0,No,2020-2-28 19:0:0,False
10,11,37.72119,-122.44777,False,0.198,True,False,False,False,True,False,False,False,L,2,2016-10-03 14:26:38,1475496000.0,1475445600.0,2016,3,10,14,Overcast,,,64.0,60.0,10.4,10.0,No,2016-10-3 14:0:0,False
11,13,37.753231,-122.40284,False,0.0,False,False,False,False,False,False,False,False,R,2,2018-02-17 09:55:48,1518850800.0,1518818400.0,2018,17,2,9,Clear,,,55.9,49.0,3.5,10.0,No,2018-2-17 9:0:0,True
12,14,37.73007,-122.43918,False,0.857,False,False,False,False,False,False,False,False,R,1,2020-04-05 11:13:58,1586077200.0,1586037600.0,2020,5,4,11,Rain,53.0,0.19,53.0,86.0,12.0,4.0,No,2020-4-5 11:0:0,True
13,15,37.752502,-122.403015,False,0.0,False,False,True,False,False,False,False,False,R,2,2019-08-28 21:35:14,1567018800.0,1566943200.0,2019,28,8,21,Cloudy,67.0,0.0,67.0,76.0,10.0,10.0,No,2019-8-28 21:0:0,False
14,16,37.808498,-122.366852,False,0.0,False,False,False,False,False,False,True,False,R,3,2017-11-29 04:19:41,1511920800.0,1511906400.0,2017,29,11,4,Clear,43.5,,45.0,93.0,3.5,10.0,No,2017-11-29 4:0:0,False
15,17,37.774891,-122.401016,False,0.0,False,False,False,False,False,False,False,True,R,2,2016-09-07 13:06:12,1473246000.0,1473199200.0,2016,7,9,13,Clear,,,82.9,28.0,8.1,10.0,No,2016-9-7 13:0:0,False
16,18,37.718611,-122.472584,False,0.0,False,False,False,False,False,False,True,False,L,2,2019-12-06 22:58:00,1575662400.0,1575583200.0,2019,6,12,22,Light Rain,55.0,0.15,55.0,93.0,10.0,3.0,No,2019-12-6 22:0:0,False
17,19,37.769291,-122.410764,False,0.0,False,False,False,False,False,False,False,False,R,2,2020-04-08 22:08:00,1586376000.0,1586296800.0,2020,8,4,22,Partly Cloudy,53.0,0.0,53.0,77.0,0.0,10.0,No,2020-4-8 22:0:0,False
18,20,37.72518,-122.40169,False,0.0,False,False,True,False,False,False,False,False,R,2,2020-04-24 16:26:30,1587736800.0,1587679200.0,2020,24,4,16,Fair / Windy,67.0,0.0,67.0,49.0,25.0,10.0,No,2020-4-24 16:0:0,False
19,21,37.733097,-122.405617,False,0.0,False,False,True,False,False,False,False,False,R,2,2018-05-09 08:09:29,1525845600.0,1525816800.0,2018,9,5,8,Overcast,,,57.0,83.0,11.5,10.0,No,2018-5-9 8:0:0,False
20,22,37.745056,-122.404999,False,0.0,False,False,True,False,False,False,False,False,R,2,2019-12-03 15:48:13,1575378000.0,1575324000.0,2019,3,12,15,Cloudy,57.0,0.0,57.0,83.0,5.0,10.0,No,2019-12-3 15:0:0,False
21,23,37.808253,-122.366974,False,0.0,False,False,True,False,False,False,True,False,R,2,2020-02-02 16:13:00,1580652000.0,1580594400.0,2020,2,2,16,Fair / Windy,57.0,0.0,57.0,40.0,23.0,10.0,No,2020-2-2 16:0:0,True
22,24,37.743961,-122.405602,False,0.0,False,False,False,False,False,False,False,False,R,3,2020-03-18 06:43:17,1584504000.0,1584482400.0,2020,18,3,6,Cloudy,45.0,0.0,49.0,77.0,9.0,10.0,No,2020-3-18 6:0:0,False
23,25,37.740952,-122.401541,False,0.0,False,False,False,False,False,False,False,False,L,2,2019-11-13 11:27:00,1573635600.0,1573596000.0,2019,13,11,11,Mostly Cloudy,59.0,0.0,59.0,69.0,13.0,8.0,No,2019-11-13 11:0:0,False
24,26,37.756828000000006,-122.40358,False,0.0,False,False,False,False,False,False,False,False,R,2,2020-02-25 20:14:00,1582653600.0,1582581600.0,2020,25,2,20,Fair,64.0,0.0,64.0,40.0,0.0,10.0,No,2020-2-25 20:0:0,False
25,27,37.752502,-122.40303,False,0.0,False,False,True,False,False,False,False,False,R,2,2020-01-08 18:36:27,1578499200.0,1578434400.0,2020,8,1,18,Cloudy,53.0,0.0,53.0,77.0,12.0,10.0,No,2020-1-8 18:0:0,False
26,28,37.807072,-122.475616,False,0.0,False,False,False,False,False,False,False,False,R,2,2016-07-03 12:41:21,1467540000.0,1467496800.0,2016,3,7,12,Partly Cloudy,,,66.0,68.0,12.7,10.0,No,2016-7-3 12:0:0,True
27,29,37.743917,-122.405635,False,0.0,False,False,False,False,False,False,False,False,R,2,2019-09-09 14:38:00,1568030400.0,1567980000.0,2019,9,9,14,Fair,77.0,0.0,77.0,52.0,18.0,10.0,No,2019-9-9 14:0:0,False
28,30,37.737713,-122.40786,False,0.0,False,False,False,False,False,False,False,False,R,3,2018-01-07 18:56:44,1515340800.0,1515276000.0,2018,7,1,18,Overcast,,,53.1,80.0,,10.0,No,2018-1-7 18:0:0,True
29,31,37.76041,-122.40628999999998,False,0.0,False,False,False,False,False,False,False,False,R,3,2020-05-18 22:45:01,1589832000.0,1589752800.0,2020,18,5,22,Fair,56.0,0.0,56.0,77.0,7.0,10.0,No,2020-5-18 22:0:0,False
30,32,37.722614,-122.447754,False,0.0,False,False,False,False,False,False,False,False,R,2,2020-06-02 17:01:54,1591110000.0,1591048800.0,2020,2,6,17,Mostly Cloudy / Windy,82.0,0.0,82.0,33.0,21.0,10.0,No,2020-6-2 17:0:0,False
31,33,37.774974,-122.410062,False,0.0,True,False,False,False,False,False,False,True,L,2,2019-09-24 15:20:00,1569330000.0,1569276000.0,2019,24,9,15,Fair,87.0,0.0,87.0,21.0,20.0,10.0,No,2019-9-24 15:0:0,False
32,34,37.771858,-122.423309,False,0.0,True,False,False,False,True,False,False,False,L,2,2018-09-02 22:35:19,1535918400.0,1535839200.0,2018,2,9,22,Partly Cloudy,,,55.9,87.0,9.2,10.0,No,2018-9-2 22:0:0,True
33,35,37.825615,-122.479279,False,0.0,False,False,False,False,False,False,False,False,R,2,2020-12-02 09:21:28,1606892400.0,1606860000.0,2020,2,12,9,Fair,53.0,0.0,53.0,74.0,3.0,10.0,No,2020-12-2 9:0:0,False
34,36,37.76778,-122.395988,False,0.540000021458,False,False,False,False,False,False,False,False,R,3,2019-01-08 16:52:18,1546956000.0,1546898400.0,2019,8,1,16,Mostly Cloudy,,,57.0,81.0,8.1,10.0,No,2019-1-8 16:0:0,False
35,37,37.772949,-122.406563,False,0.0,False,False,False,False,False,False,False,False,R,3,2018-09-14 09:52:34,1536908400.0,1536876000.0,2018,14,9,9,Mostly Cloudy,,,59.0,78.0,8.1,10.0,No,2018-9-14 9:0:0,False
36,38,37.73222,-122.41524,False,0.442,False,False,False,False,False,False,False,False,R,2,2017-03-24 15:08:31,1490360400.0,1490306400.0,2017,24,3,15,Light Rain,,0.15,55.0,93.0,3.5,3.0,No,2017-3-24 15:0:0,False
37,39,37.719141,-122.448457,False,0.0,False,False,False,False,False,False,False,False,R,2,2019-12-07 15:16:00,1575723600.0,1575669600.0,2019,7,12,15,Rain / Windy,62.0,0.25,62.0,80.0,28.0,3.0,No,2019-12-7 15:0:0,True
38,40,37.712811,-122.453491,False,0.0,False,False,False,False,False,False,False,False,L,3,2019-10-08 15:36:29,1570539600.0,1570485600.0,2019,8,10,15,Mostly Cloudy,71.0,0.0,71.0,55.0,17.0,10.0,No,2019-10-8 15:0:0,False
39,41,37.77412,-122.405762,False,0.300000011921,False,False,False,False,False,False,False,False,R,3,2019-12-20 15:36:58,1576846800.0,1576792800.0,2019,20,12,15,Mostly Cloudy,56.0,0.0,56.0,75.0,5.0,10.0,No,2019-12-20 15:0:0,False
40,42,37.731355,-122.423836,False,0.0,False,False,True,False,False,False,False,False,R,2,2020-05-14 13:33:00,1589454000.0,1589407200.0,2020,14,5,13,Cloudy,64.0,0.0,64.0,67.0,5.0,10.0,No,2020-5-14 13:0:0,False
41,43,37.806531,-122.368896,False,0.0,False,False,False,False,False,False,False,False,R,2,2017-04-27 19:44:22,1493312400.0,1493244000.0,2017,27,4,19,Scattered Clouds,,,63.0,56.0,15.0,10.0,No,2017-4-27 19:0:0,False
42,44,37.800937,-122.447865,False,0.012,True,True,False,False,False,False,False,False,R,2,2020-10-27 17:52:00,1603810800.0,1603749600.0,2020,27,10,17,Fair,77.0,0.0,77.0,17.0,7.0,10.0,No,2020-10-27 17:0:0,False
43,45,37.80827,-122.36701,False,0.0,False,False,True,False,False,False,True,False,R,2,2020-03-22 16:21:00,1584885600.0,1584828000.0,2020,22,3,16,Mostly Cloudy,68.0,0.0,68.0,52.0,15.0,10.0,No,2020-3-22 16:0:0,True
44,46,37.775564,-122.405811,False,0.0,False,False,False,False,False,False,False,False,R,2,2019-09-29 19:31:00,1569776400.0,1569708000.0,2019,29,9,19,Fair,59.0,0.0,59.0,69.0,10.0,10.0,No,2019-9-29 19:0:0,True
45,47,37.734898,-122.408661,False,0.01,False,False,False,False,False,False,False,False,R,3,2017-01-19 15:04:05,1484830800.0,1484776800.0,2017,19,1,15,Mostly Cloudy,,,55.0,69.0,9.2,10.0,No,2017-1-19 15:0:0,False
46,48,37.80669,-122.474869,False,0.0,False,False,False,False,False,False,False,False,R,2,2019-09-21 13:31:29,1569063600.0,1569016800.0,2019,21,9,13,Fair,84.0,0.0,84.0,26.0,0.0,10.0,No,2019-9-21 13:0:0,True
47,49,37.785542,-122.39138,False,0.01,False,False,True,False,False,False,False,False,R,3,2016-11-30 17:38:08,1480518000.0,1480456800.0,2016,30,11,17,Mostly Cloudy,,,51.1,80.0,6.9,10.0,No,2016-11-30 17:0:0,False
48,50,37.765283,-122.404835,False,0.0,False,False,False,False,False,False,False,False,R,2,2020-04-30 16:47:00,1588255200.0,1588197600.0,2020,30,4,16,Mostly Cloudy / Windy,62.0,0.0,62.0,60.0,25.0,10.0,No,2020-4-30 16:0:0,False
49,51,37.752007,-122.403053,False,0.0,False,False,False,False,False,False,False,False,R,2,2019-09-10 17:48:11,1568127600.0,1568066400.0,2019,10,9,17,Partly Cloudy,71.0,0.0,71.0,61.0,14.0,10.0,No,2019-9-10 17:0:0,False
50,52,37.74496,-122.40522,False,0.0,False,False,True,False,False,False,False,False,R,1,2020-06-07 05:14:09,1591498800.0,1591480800.0,2020,7,6,5,Fair,52.0,0.0,52.0,83.0,14.0,10.0,No,2020-6-7 5:0:0,True
51,53,37.731983,-122.415413,False,0.01,False,False,False,False,False,False,False,False,R,3,2016-11-02 22:27:43,1478116800.0,1478037600.0,2016,2,11,22,Clear,,,57.9,72.0,,10.0,No,2016-11-2 22:0:0,False
52,54,37.74492,-122.40505,False,0.539,False,False,True,False,False,False,False,False,R,2,2016-06-01 15:08:07,1464786000.0,1464732000.0,2016,1,6,15,Mostly Cloudy,,,73.0,53.0,6.9,10.0,No,2016-6-1 15:0:0,False
53,55,37.762817,-122.392799,False,0.0,False,False,False,False,False,False,False,False,R,3,2017-07-25 09:01:28,1500966000.0,1500933600.0,2017,25,7,9,Overcast,,,66.0,73.0,4.6,10.0,No,2017-7-25 9:0:0,False
54,56,37.752502,-122.40303,False,0.0,False,False,True,False,False,False,False,False,R,2,2019-11-04 09:39:31,1572850800.0,1572818400.0,2019,4,11,9,Fair,60.0,0.0,60.0,72.0,5.0,10.0,No,2019-11-4 9:0:0,False
55,57,37.72362,-122.40134,False,0.136,False,False,False,False,False,False,False,False,R,2,2016-09-07 07:35:53,1473224400.0,1473199200.0,2016,7,9,7,Clear,,,64.9,75.0,,10.0,No,2016-9-7 7:0:0,False
56,58,37.778107,-122.401192,False,0.0,False,False,False,False,False,False,False,False,R,3,2020-12-12 17:15:06,1607785200.0,1607724000.0,2020,12,12,17,Mostly Cloudy,55.0,0.0,55.0,67.0,6.0,10.0,No,2020-12-12 17:0:0,True
57,59,37.778091,-122.401176,False,0.0,False,False,False,False,False,False,False,False,R,3,2017-11-05 21:18:21,1509908400.0,1509832800.0,2017,5,11,21,Clear,,,53.1,83.0,3.5,10.0,No,2017-11-5 21:0:0,True
58,60,37.74497,-122.40521,False,0.0,False,False,True,False,False,False,False,False,R,4,2020-04-30 22:44:01,1588276800.0,1588197600.0,2020,30,4,22,Mostly Cloudy / Windy,53.0,0.0,53.0,80.0,23.0,10.0,No,2020-4-30 22:0:0,False
59,61,37.74492,-122.40505,False,0.539,False,False,True,False,False,False,False,False,R,2,2016-05-12 20:47:48,1463076000.0,1463004000.0,2016,12,5,20,Mostly Cloudy,,,57.9,72.0,16.1,10.0,No,2016-5-12 20:0:0,False
60,62,37.765289,-122.404892,False,0.0,False,False,False,False,False,False,False,False,R,3,2018-03-23 17:12:33,1521817200.0,1521756000.0,2018,23,3,17,Mostly Cloudy,,,57.0,53.0,13.8,10.0,No,2018-3-23 17:0:0,False
61,63,37.720791,-122.400223,False,0.0,False,False,True,False,False,False,False,False,R,2,2018-11-08 07:03:54,1541653200.0,1541628000.0,2018,8,11,7,Partly Cloudy,,,53.1,43.0,,10.0,No,2018-11-8 7:0:0,False
62,64,37.749699,-122.397285,False,0.0,False,False,False,False,False,False,False,False,R,2,2018-05-29 02:44:26,1527552000.0,1527544800.0,2018,29,5,2,Partly Cloudy,,,59.0,75.0,5.8,9.0,No,2018-5-29 2:0:0,False
