Year,timestamp,Day,date,Month,Lat,Hour,Lng,Weather_Condition,Distance(mi),Wind_Chill(F),Crossing,Precipitation(in),Railway,Temperature(F),Stop,Humidity(%),Side,Wind_Speed(mph),Severity,Visibility(mi),Selected,ID
2020,3/25/2016 15:13,27,1/2/2012 0:00,7,37.76215,18,-122.40566,Fair,0.044,64,FALSE,0,FALSE,64,FALSE,70,R,20,2,10,No,0
2017,5/5/2020 19:23,30,1/16/2012 0:00,9,37.719157,17,-122.448254,Partly Cloudy,0,63,FALSE,0,FALSE,71.1,FALSE,57,R,9.2,2,10,No,1
2017,9/16/2016 19:57,27,2/20/2012 0:00,6,37.808498,5,-122.366852,Overcast,0,54,FALSE,0,FALSE,57.9,TRUE,87,R,15,3,9,No,2
2016,3/29/2020 19:48,7,5/28/2012 0:00,9,37.78593,9,-122.39108,Clear,0.009,67,FALSE,0.01,FALSE,66.9,FALSE,73,R,4.6,1,10,No,3
2019,10/9/2019 8:47,19,7/4/2012 0:00,10,37.719141,2,-122.448457,Fair,0,52,FALSE,0,FALSE,52,FALSE,89,R,0,2,9,No,4
2019,9/22/2019 8:45,1,9/3/2012 0:00,9,37.769611,17,-122.416878,Partly Cloudy,0,74,FALSE,0,FALSE,74,FALSE,62,R,10,2,10,No,5
2020,10/23/2019 7:11,3,10/8/2012 0:00,8,37.727318,13,-122.402756,Partly Cloudy,0,75,FALSE,0,FALSE,75,FALSE,51,R,13,2,10,No,6
2019,3/25/2016 13:36,8,11/12/2012 0:00,10,37.731277,13,-122.435219,Mostly Cloudy,0.01,73,FALSE,0,FALSE,73,FALSE,53,R,13,3,10,No,7
2019,2/23/2020 18:38,14,11/22/2012 0:00,2,37.787867,15,-122.396836,Mostly Cloudy,0,71,TRUE,0,FALSE,55,FALSE,64,L,18.4,2,10,No,8
2020,9/25/2019 18:07,27,12/25/2012 0:00,3,37.756806,23,-122.403612,Partly Cloudy,0,54,FALSE,0,FALSE,54,FALSE,75,R,6,2,10,No,9
2020,2/28/2020 19:41,2,1/1/2013 0:00,11,37.768959,22,-122.406616,Partly Cloudy,0.579999983,56,FALSE,0,FALSE,56,FALSE,80,R,3,3,10,No,10
2016,10/3/2016 14:26,1,1/21/2013 0:00,6,37.72119,20,-122.44777,Mostly Cloudy,0.198,52,TRUE,0,TRUE,60.1,FALSE,78,L,17.3,2,10,No,11
2020,6/6/2020 13:30,9,2/18/2013 0:00,4,37.81053,19,-122.36464,Mostly Cloudy,0,62,FALSE,0,FALSE,62,FALSE,67,R,12,1,10,No,12
2019,2/17/2018 9:55,29,5/27/2013 0:00,4,37.753231,7,-122.40284,Cloudy,0,56,FALSE,0,FALSE,56,FALSE,69,R,15,2,10,No,13
2018,4/5/2020 11:13,16,7/4/2013 0:00,11,37.73007,6,-122.43918,Smoke,0.857,54,FALSE,0.05,FALSE,48,FALSE,74,R,3.5,1,1.5,No,14
2020,8/28/2019 21:35,16,9/2/2013 0:00,6,37.752502,4,-122.403015,Fair,0,55,FALSE,0,FALSE,55,FALSE,83,R,20,2,10,No,15
